h,w,ratio
103,33,0.3204
39,90,0.4333
88,38,0.4318
45,94,0.4787
96,64,0.6667
38,107,0.3551
98,42,0.4286
116,47,0.4052
31,86,0.3605
90,30,0.3333
40,91,0.4396
32,96,0.3333
44,110,0.4
47,104,0.4519
42,113,0.3717
106,38,0.3585
104,45,0.4327
32,90,0.3556
38,94,0.4043
40,90,0.4444
38,91,0.4176
40,90,0.4444
98,31,0.3163
35,103,0.3398
108,41,0.3796
103,44,0.4272
34,102,0.3333
35,104,0.3365
105,39,0.3714
38,102,0.3725
36,101,0.3564
34,103,0.3301
40,96,0.4167
41,91,0.4505
96,43,0.4479
38,97,0.3918
98,38,0.3878
35,110,0.3182
98,37,0.3776
33,99,0.3333
100,33,0.33
102,35,0.3431
36,106,0.3396
36,104,0.3462
100,33,0.33
44,94,0.4681
97,42,0.433
46,97,0.4742
103,35,0.3398
102,35,0.3431
77,26,0.3377
82,28,0.3415
85,28,0.3294
93,34,0.3656
35,93,0.3763
34,91,0.3736
87,36,0.4138
33,101,0.3267
81,35,0.4321
101,39,0.3861
35,93,0.3763
38,94,0.4043
38,92,0.413
98,34,0.3469
95,33,0.3474
93,32,0.3441
38,87,0.4368
33,81,0.4074
32,97,0.3299
